Time (s),X (g),Y (g),Z (g)
4.478665829,-0.002369381,0.0002858103,0.01797849
4.483683586,-0.006023074,-0.004671847,0.01057662
4.488701820,-0.003785329,-0.001229979,0.01835095
4.493720532,0.0009421553,-0.0004945523,0.0146247
4.498738289,-0.003723777,-0.005528279,0.01600977
4.503756046,-0.006513397,-0.0003981076,0.01570476
4.508774281,-0.001918403,-0.002261158,0.01409683
4.513792992,-0.002677403,-0.006268482,0.01101584
4.518810749,-0.005000207,0.004211968,0.01313673
4.523828507,-0.005603313,0.004891127,0.01170314
4.528846741,-0.002965888,0.0009844006,0.01654466
4.533864975,-0.007001719,0.001801593,0.01447145
4.538883209,-0.005071807,0.005743655,0.01655202
4.543900967,-0.001892602,-0.00420507,0.01397262
4.548919201,-0.005733895,-0.009754258,0.01722087
4.553937435,-0.004385299,-0.004987262,0.006866351
4.558955670,-0.002542374,0.004445304,0.01260891
4.563973427,0.003064652,0.002423619,0.01840524
4.568991661,0.007835854,-0.006449978,0.01595801
4.574009895,0.007373578,-0.002062556,0.01008543
4.579028130,0.0002740347,0.001954696,0.01703206
4.584045887,-0.01050591,0.004659905,0.009116171
4.589064598,-0.004227891,0.002147411,0.008988333
4.594082356,0.003073518,0.011269,0.01034891
4.599100590,0.005816842,0.009338212,0.009506888
4.604118347,0.002967709,0.01682839,0.005609687
4.609136105,-0.0004921472,0.0168776,0.00756452
4.614154816,-0.002772596,0.01603163,0.01231199
4.619173050,0.004214338,0.009682479,0.01155441
4.624190807,-0.005941864,-0.0007170996,0.006371801
4.629209519,-0.007887239,0.0164281,0.01483035
4.634227276,-0.007205725,0.01437915,0.004443619
4.639245510,-0.00574038,0.006937753,0.02294073
4.644263268,-0.01402572,-0.02509517,0.004451453
4.649281979,-0.002921488,-0.01050832,0.01147614
4.654299736,-0.008511247,0.01480826,0.02038202
4.659317970,-0.01154972,-0.001582329,0.01697781
4.664335728,-0.001972846,-0.02082019,0.01347926
4.669354439,-0.002896429,-0.005775039,0.01455668
4.674372196,0.0003787163,0.01017044,0.01938778
4.679389954,-0.005462513,0.001276984,0.01831164
4.684408188,-0.004443186,-0.01727435,0.005810316
4.689426899,0.005169837,-0.006234002,0.01308568
4.694444656,0.007031843,0.00477269,0.009562345
4.699462414,0.0003100608,-0.01140649,0.01238073
4.704480648,0.001022103,-0.01463975,0.009520508
4.709499359,0.01038061,-0.006595096,0.01121483
4.714517116,0.009915182,0.001676724,0.01335678
4.719534874,0.0008413438,0.004259566,0.01242014
4.724553108,-0.001429823,0.003914065,0.01127514
4.729571819,-0.003995985,-0.0007695793,0.01058537
4.734589577,-0.009788916,-0.0004797329,0.0061083
4.739607334,-0.0002862965,0.009666608,0.01459454
4.744625568,-0.007695003,0.02459002,0.01309927
4.749644279,0.0006804443,0.02477714,0.01513481
4.754662037,-0.007231383,0.02709388,0.008495491
4.759679794,-0.00299517,0.01938399,0.02058691
4.764698029,-0.01697513,0.00380434,0.006488623
4.769716263,0.0002806056,-0.0142768,0.0193823
4.774734497,-0.00287277,-0.007843408,0.01307272
4.779752254,-0.01160637,0.009456692,0.007446195
4.784770489,-0.002416184,0.02167158,0.02082193
4.789788723,-0.002583408,0.006823562,0.02110407
4.794806957,-0.008308546,-0.009758496,0.007949161
4.799824715,0.01673209,-0.005718953,0.01641176
4.804842949,0.001658981,-0.005460375,0.01156924
4.809861183,0.001785465,0.01867161,0.0148908
4.814879417,0.0025695,0.02086578,0.01036806
4.819897175,0.009612671,0.01013044,0.004297893
4.824915409,0.01062679,0.003871623,0.02322246
4.829933643,0.0138734,-0.01738484,0.01518759
4.834951878,-0.00720627,-0.01013475,0.009843784
4.839969635,-0.004739993,-0.006622084,0.0335195
4.844988346,-0.01930282,0.01215864,0.01847184
4.850006103,0.03478048,0.008079963,0.01210685
4.855024338,0.01436253,0.01120009,0.003112299
4.860042095,0.01532409,0.01030904,0.0116401
4.865060806,-0.006113817,0.01584167,0.01400203
4.870078564,-0.01760616,0.01323941,0.02903469
4.875096798,0.01926429,-0.02071572,0.00171003
4.880114555,0.04278215,-0.02894878,-0.005183311
4.885132313,-0.009512503,0.008424218,0.02078953
4.890151024,-0.003908458,0.01603209,0.01999818
4.895169258,0.02026833,0.003788263,0.01316449
4.900187016,0.01644612,0.008878204,0.01101567
4.905205727,0.0154366,0.01620321,0.01712076
4.910223484,0.02458823,0.01980867,0.0146855
4.915241241,0.02330773,0.02482898,0.01100076
4.920259476,0.01390407,0.0255391,0.02191586
4.925278187,-0.004507069,0.008873224,0.01936958
4.930295944,-0.0005355311,-0.01246392,0.003571373
4.935313702,-0.002779553,-0.001614788,0.01263598
4.940331936,0.007222355,0.0176673,0.01964413
4.945350647,0.001919402,0.001765601,0.0106372
4.950368404,0.0009400977,-0.01053418,0.01108392
4.955386162,-0.002949583,0.001126655,0.01444897
4.960404396,0.01064217,0.0107218,0.01322601
4.965423107,0.01160901,0.008479627,0.009223491
4.970440865,0.0003629965,0.002750491,0.01507153
4.975458622,-0.0006081639,-0.009490378,0.01658458
4.980476856,-0.005722892,-0.007451704,0.00638527
4.985495567,-0.005972972,-0.02384457,0.01371106
4.990513325,-0.006726847,-0.01581154,0.00773902
4.995531082,0.01034724,-0.006503158,0.01499595
5.000549316,0.004104503,-0.007122304,0.01512213
5.005567551,0.01399435,-0.01942917,0.01273135
5.010585785,-0.001473599,-0.03488231,0.01873053
5.015603542,-0.0128065,-0.03058026,0.01366119
5.020621777,-0.01548005,-0.01332507,0.01424682
5.025640011,0.00840451,-0.008094771,0.01487989
5.030658245,0.01706915,-0.02232166,0.03000611
5.035676003,0.01803233,-0.04598617,0.01702693
5.040694237,0.0100688,-0.04625811,0.01363799
5.045712471,0.01581099,-0.030695,0.03196724
5.050730705,0.009820607,-0.03591745,0.03452513
5.055748463,0.02094357,-0.02881612,0.02854138
5.060766697,0.02151577,-0.0282782,0.02877117
5.065784931,0.01334674,-0.01039251,0.02482364
5.070803165,0.00367944,-0.01455431,0.02773462
5.075820923,-0.001581972,-0.01834363,0.03349769
5.080838680,0.003525779,-0.02781729,0.01850431
5.085857391,-0.01018517,-0.01023004,0.01556036
5.090875626,-0.02679802,0.007694373,0.04980337
5.095893383,0.007224465,-0.02618417,0.03625581
5.100911140,0.04927538,-0.05211438,0.02179009
5.105929852,0.0364287,-0.03468566,0.02803604
5.110948086,0.01662167,-0.005225121,0.04211232
5.115965843,0.007513934,-0.03815228,0.05003087
5.120983601,0.03598185,-0.06455722,0.02198083
5.126002312,0.02862226,-0.03752935,0.03365554
5.128510952,0.02901464,-0.01284995,0.04439818
5.133529663,0.03098167,-0.01644012,0.03963682
5.141056061,0.05338011,-0.01287419,0.03069489
5.143565655,0.05293188,-0.01103836,0.03816113
5.148583412,0.04016985,-0.0140428,0.03764226
5.153602123,0.04925034,0.01220523,0.03806051
5.158619881,0.06384791,0.01828416,0.05587472
5.163638115,0.04848939,-0.008331284,0.04260381
5.168655872,0.05722157,-0.01535976,0.05211889
5.173674583,0.05425519,-0.01835638,0.04193526
5.178692341,0.04639174,0.005209908,0.04879925
5.183710575,0.06293982,-0.0007706089,0.05050414
5.188728333,0.06698228,-0.02924945,0.04073474
5.193747044,0.05050511,-0.05333478,0.05187351
5.198764801,0.05391651,-0.0718369,0.05225749
5.203783035,0.05414442,-0.06284495,0.04558937
5.208800793,0.06901646,-0.04124755,0.04914889
5.213819504,0.07808453,-0.02755944,0.05014611
5.218837261,0.07141145,-0.01497692,0.05595595
5.223855496,0.07620114,-0.01357646,0.05365885
5.228873253,0.07445301,0.005794888,0.05121685
5.233891964,0.07570571,0.01538981,0.05093051
5.238909721,0.07001624,0.02512123,0.04949436
5.243927479,0.07813905,0.01179229,0.04930951
5.248945713,0.08069952,0.005295483,0.04863139
5.253964424,0.08394638,-0.004713904,0.05056568
5.258982182,0.08020659,-0.003567105,0.05373143
5.263999939,0.08078527,-0.0007562339,0.05223744
5.269018173,0.08166628,0.01712687,0.05055751
5.274036884,0.07607,0.01705721,0.06630153
5.279054642,0.0885777,0.01143717,0.05628622
5.284072399,0.105388,0.01957341,0.04539325
5.289090633,0.1082918,0.01856181,0.04796968
5.294109345,0.1024783,0.002284723,0.04399538
5.299127102,0.1013147,-0.001140917,0.05584368
5.304144859,0.09959775,-0.005616872,0.04190246
5.309163094,0.1055817,-0.0009156521,0.04705071
5.314181328,0.1129752,0.007289645,0.04853312
5.319199562,0.1278358,0.01196312,0.04114177
5.324217320,0.1419017,0.003815031,0.03856898
5.329235554,0.1560586,-0.0007716939,0.02402237
5.334253788,0.166928,0.01003094,0.02529929
5.339272022,0.1878645,0.02321833,0.04213832
5.344289780,0.2041279,0.03899287,0.04847653
5.349308014,0.2177256,0.04248145,0.03833183
5.354326248,0.2324104,0.06057823,0.03608651
5.359344483,0.2457004,0.08604943,0.03184959
5.364362240,0.255756,0.09019063,0.01227938
5.369380951,0.2764238,0.08422237,0.007791489
5.374398708,0.2970023,0.07468043,-0.005643904
5.379416943,0.2845418,0.03888195,-0.03819069
5.384434700,0.3012325,0.0295209,-0.05273436
5.389453411,0.3022063,0.01510665,-0.07273035
5.394471169,0.3236228,0.01358463,-0.07391004
5.399489403,0.3257695,-0.003583066,-0.09275394
5.404507160,0.3296673,0.002395291,-0.0967366
5.409525871,0.3342825,-0.008936502,-0.1171263
5.414543629,0.3277674,-0.02104321,-0.1258379
5.419561863,0.3209842,-0.04006757,-0.1441686
5.424579620,0.3539848,-0.0366302,-0.1328824
5.429598332,0.3212593,-0.03293458,-0.1413361
5.434616089,0.3470729,-0.07153121,-0.1495227
5.439634323,0.3074471,-0.09363147,-0.1726951
5.444652081,0.3354048,-0.06146652,-0.1423221
5.449670792,0.3197165,-0.02521961,-0.09910816
5.454688549,0.2561497,-0.01270469,-0.01904183
5.459706783,0.2260967,0.01075821,0.1623159
5.464724541,0.1602865,0.05167282,0.3763655
5.469743252,0.1202906,0.110513,0.6863817
5.474761009,0.07056046,0.1976364,1.053269
5.479778767,0.0319593,0.3304897,1.334936
5.484797001,0.2182542,0.4733905,1.282893
5.489815712,0.4217148,0.4820927,0.9314178
5.494833470,0.6033691,0.2883989,0.4813252
5.499852181,0.5912419,0.2533198,0.2555355
5.504869461,0.7702746,0.1448449,0.07485356
5.509888172,0.7126272,0.2852039,0.1491093
5.514905930,0.7219166,0.2382229,0.1002559
5.519923687,0.7822868,0.2756335,0.08447737
5.524941921,0.78782,0.3022623,0.03230961
